source,dataset,origin_country,destination_country,year,measure_type,value,analysis_question
eurostat,eurostat_long_term_residents,Cameroon,Romania,2016,long_term_resident,8.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Slovenia,2016,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Slovakia,2016,long_term_resident,8.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Finland,2016,long_term_resident,206.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Sweden,2016,long_term_resident,584.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Iceland,2016,long_term_resident,2.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Liechtenstein,2016,long_term_resident,2.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Norway,2016,long_term_resident,71.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Switzerland,2016,long_term_resident,2188.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,United Kingdom,2016,long_term_resident,4847.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Serbia,2016,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Belgium,2017,long_term_resident,2834.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Bulgaria,2017,long_term_resident,11.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Czechia,2017,long_term_resident,58.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Denmark,2017,long_term_resident,95.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Germany,2017,long_term_resident,2565.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Estonia,2017,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Ireland,2017,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Greece,2017,long_term_resident,22.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Spain,2017,long_term_resident,4314.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,France,2017,long_term_resident,30889.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Croatia,2017,long_term_resident,7.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Italy,2017,long_term_resident,7594.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Cyprus,2017,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Latvia,2017,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Lithuania,2017,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Luxembourg,2017,long_term_resident,146.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Hungary,2017,long_term_resident,114.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Malta,2017,long_term_resident,1.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Netherlands,2017,long_term_resident,79.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Austria,2017,long_term_resident,89.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Poland,2017,long_term_resident,128.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Portugal,2017,long_term_resident,7.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Romania,2017,long_term_resident,14.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Slovenia,2017,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Slovakia,2017,long_term_resident,10.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Finland,2017,long_term_resident,227.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Sweden,2017,long_term_resident,592.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Iceland,2017,long_term_resident,2.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Liechtenstein,2017,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Norway,2017,long_term_resident,63.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Switzerland,2017,long_term_resident,2238.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,United Kingdom,2017,long_term_resident,4847.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Serbia,2017,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Belgium,2018,long_term_resident,2802.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Bulgaria,2018,long_term_resident,11.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Czechia,2018,long_term_resident,59.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Denmark,2018,long_term_resident,97.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Germany,2018,long_term_resident,2722.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Estonia,2018,long_term_resident,1.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Ireland,2018,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Greece,2018,long_term_resident,25.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Spain,2018,long_term_resident,4479.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,France,2018,long_term_resident,31078.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Croatia,2018,long_term_resident,8.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Italy,2018,long_term_resident,7277.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Cyprus,2018,long_term_resident,1.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Latvia,2018,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Lithuania,2018,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Luxembourg,2018,long_term_resident,172.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Hungary,2018,long_term_resident,118.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Malta,2018,long_term_resident,1.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Netherlands,2018,long_term_resident,93.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Austria,2018,long_term_resident,97.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Poland,2018,long_term_resident,140.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Portugal,2018,long_term_resident,23.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Romania,2018,long_term_resident,19.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Slovenia,2018,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Slovakia,2018,long_term_resident,12.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Finland,2018,long_term_resident,264.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Sweden,2018,long_term_resident,585.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Iceland,2018,long_term_resident,2.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Liechtenstein,2018,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Norway,2018,long_term_resident,81.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Switzerland,2018,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,United Kingdom,2018,long_term_resident,5362.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Serbia,2018,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Belgium,2019,long_term_resident,2879.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Bulgaria,2019,long_term_resident,12.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Czechia,2019,long_term_resident,60.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Denmark,2019,long_term_resident,146.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Germany,2019,long_term_resident,2959.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Estonia,2019,long_term_resident,2.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Ireland,2019,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Greece,2019,long_term_resident,25.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Spain,2019,long_term_resident,4553.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,France,2019,long_term_resident,32009.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Croatia,2019,long_term_resident,8.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Italy,2019,long_term_resident,7277.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Cyprus,2019,long_term_resident,10.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Latvia,2019,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Lithuania,2019,long_term_resident,3.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Luxembourg,2019,long_term_resident,203.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Hungary,2019,long_term_resident,120.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Malta,2019,long_term_resident,1.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Netherlands,2019,long_term_resident,107.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Austria,2019,long_term_resident,110.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Poland,2019,long_term_resident,116.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Portugal,2019,long_term_resident,22.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Romania,2019,long_term_resident,23.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Slovenia,2019,long_term_resident,8.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Slovakia,2019,long_term_resident,16.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Finland,2019,long_term_resident,286.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Sweden,2019,long_term_resident,646.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Iceland,2019,long_term_resident,2.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Liechtenstein,2019,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Norway,2019,long_term_resident,75.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Switzerland,2019,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,United Kingdom,2019,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Serbia,2019,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Belgium,2020,long_term_resident,3058.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Bulgaria,2020,long_term_resident,12.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Czechia,2020,long_term_resident,62.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Denmark,2020,long_term_resident,158.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Germany,2020,long_term_resident,3068.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Estonia,2020,long_term_resident,1.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Ireland,2020,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Greece,2020,long_term_resident,27.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Spain,2020,long_term_resident,4463.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,France,2020,long_term_resident,32924.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Croatia,2020,long_term_resident,8.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Italy,2020,long_term_resident,6982.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Cyprus,2020,long_term_resident,9.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Latvia,2020,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Lithuania,2020,long_term_resident,4.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Luxembourg,2020,long_term_resident,237.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Hungary,2020,long_term_resident,111.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Malta,2020,long_term_resident,1.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Netherlands,2020,long_term_resident,94.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Austria,2020,long_term_resident,121.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Poland,2020,long_term_resident,140.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Portugal,2020,long_term_resident,23.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Romania,2020,long_term_resident,23.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Slovenia,2020,long_term_resident,10.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Slovakia,2020,long_term_resident,17.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Finland,2020,long_term_resident,324.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Sweden,2020,long_term_resident,646.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Iceland,2020,long_term_resident,3.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Liechtenstein,2020,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Norway,2020,long_term_resident,75.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Switzerland,2020,long_term_resident,2358.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,United Kingdom,2020,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Serbia,2020,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Belgium,2021,long_term_resident,3287.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Bulgaria,2021,long_term_resident,12.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Czechia,2021,long_term_resident,70.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Denmark,2021,long_term_resident,179.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Germany,2021,long_term_resident,2934.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Estonia,2021,long_term_resident,1.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Ireland,2021,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Greece,2021,long_term_resident,25.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Spain,2021,long_term_resident,4286.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,France,2021,long_term_resident,33707.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Croatia,2021,long_term_resident,7.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Italy,2021,long_term_resident,6889.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Cyprus,2021,long_term_resident,7.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Latvia,2021,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Lithuania,2021,long_term_resident,5.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Luxembourg,2021,long_term_resident,192.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Hungary,2021,long_term_resident,111.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Malta,2021,long_term_resident,2.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Netherlands,2021,long_term_resident,91.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Austria,2021,long_term_resident,125.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Poland,2021,long_term_resident,136.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Portugal,2021,long_term_resident,22.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Romania,2021,long_term_resident,25.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Slovenia,2021,long_term_resident,11.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Slovakia,2021,long_term_resident,18.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Finland,2021,long_term_resident,368.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Sweden,2021,long_term_resident,601.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Iceland,2021,long_term_resident,2.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Liechtenstein,2021,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Norway,2021,long_term_resident,67.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Switzerland,2021,long_term_resident,2447.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,United Kingdom,2021,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Serbia,2021,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Belgium,2022,long_term_resident,6719.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Bulgaria,2022,long_term_resident,13.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Czechia,2022,long_term_resident,73.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Denmark,2022,long_term_resident,197.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Germany,2022,long_term_resident,3533.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Estonia,2022,long_term_resident,1.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Ireland,2022,long_term_resident,1.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Greece,2022,long_term_resident,13.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Spain,2022,long_term_resident,4629.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,France,2022,long_term_resident,34783.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Croatia,2022,long_term_resident,7.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Italy,2022,long_term_resident,7795.0,Q3_post_arrival_trajectories
